name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
discovery bay california,2022-06-25,35.9,15.5,25.4,33.3,15.5,24.5,7.5,37.3,0,0,0,,0,0,19.1,24.2,303.5,1010.9,0.3,16,311.5,27.1,8,10,2022-06-25T05:45:36,2022-06-25T20:32:41,0.89,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,CI047"
discovery bay california,2022-06-26,35.8,14.6,24.5,33.4,14.6,23.8,9.7,45.1,0,0,0,,0,0,27.7,23.2,304.6,1013.9,0,16,214.3,18.4,9,10,2022-06-26T05:45:56,2022-06-26T20:32:45,0.92,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,CI047"
discovery bay california,2022-06-27,35.6,13.9,24.4,33.3,13.9,23.6,9.8,47,0,0,0,,0,0,35.3,24.6,297.4,1015.6,0.5,15.9,218.6,18.7,9,10,2022-06-27T05:46:18,2022-06-27T20:32:47,0.95,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
discovery bay california,2022-06-28,35.1,15.1,24.7,32.4,15.1,23.9,6.4,36.3,0,0,0,,0,0,36,26.6,293,1015.2,0.4,16,205,17.6,9,10,2022-06-28T05:46:41,2022-06-28T20:32:48,0,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
discovery bay california,2022-06-29,30.2,14.4,21,28.8,14.4,20.8,9.6,50.7,0,0,0,,0,0,40.7,25.6,277.1,1014.5,0.3,16,176.5,15.1,8,10,2022-06-29T05:47:05,2022-06-29T20:32:46,0.02,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
discovery bay california,2022-06-30,25.8,13.7,18.6,25.8,13.7,18.6,10.3,61.5,0,0,0,,0,0,47.3,27.2,263.9,1015.1,17.7,16,265.4,23.1,8,10,2022-06-30T05:47:31,2022-06-30T20:32:43,0.06,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,CI047"
discovery bay california,2022-07-01,28.1,12.5,18.7,27.2,12.5,18.7,9.7,59.7,0,0,0,,0,0,51.8,25.9,264.4,1014.2,13.6,16,311.9,27,8,10,2022-07-01T05:47:59,2022-07-01T20:32:38,0.09,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,CI047"
discovery bay california,2022-07-02,22.6,13.4,16.8,22.6,13.4,16.8,10.5,68,0,0,0,,0,0,51.8,34.7,249.9,1013.6,44.6,16,308,26.7,8,10,2022-07-02T05:48:27,2022-07-02T20:32:31,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,CI047"
discovery bay california,2022-07-03,22.4,13.4,16.8,22.4,13.4,16.8,10.1,66.2,0,0,0,,0,0,52.2,26.4,257.1,1014.3,41.8,16,278.3,24.1,8,10,2022-07-03T05:48:57,2022-07-03T20:32:22,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,CI047"
discovery bay california,2022-07-04,27.4,13.7,20.3,27.5,13.7,20.3,12.8,63.9,0,0,0,,0,0,35.3,25.2,270.9,1013.8,59.5,16,271.9,23.4,9,10,2022-07-04T05:49:28,2022-07-04T20:32:12,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237,CI047"
