time_stamp,humidity,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
1657065600,39.854,0.429,0.31,0.548
1679702400,40.031,1.887,1.537,2.237
1658448000,23.226,2.625,2.455,2.795
1683504000,44.999,1.5005,1.126,1.875
1683331200,54.629,3.504,2.911,4.097
1665532800,40.762,18.9645,18.261,19.668
1670371200,54.491,4.0755,3.334,4.817
1683936000,38.979,6.2185,5.487,6.95
1665964800,45.951,8.8585,8.387,9.33
1666051200,44.329,15.5315,14.853,16.21
1659484800,27.136,4.5585,4.116,5.001
1658707200,36.008,5.9975,5.478,6.517
1659312000,41.619,4.6005,4.07,5.131
1675987200,49.175,24.4235,22.369,26.478
1674777600,52.819,32.9905,30.427,35.554
1680825600,48.443,3.167,2.667,3.667
1664582400,34.632,3.013,2.576,3.45
1677801600,47.822,3.057,2.602,3.512
1677888000,48.156,3.033,2.644,3.422
1656633600,32.16,3.0435,2.737,3.35
1661385600,40.818,6.7195,5.993,7.446
1669507200,39.21,11.767,10.845,12.689
1659916800,32.294,1.569,1.289,1.849
1673913600,55.505,2.016,1.577,2.455
1662336000,22.833,8.6705,8.107,9.234
1657238400,32.029,0.6245,0.498,0.751
1675814400,50.34,19.5855,17.643,21.528
1665792000,43.796,16.7015,15.96,17.443
1680998400,40.953,2.332,1.833,2.831
1662854400,38.112,24.77,24.086,25.454
1679616000,40.796,0.832,0.622,1.042
1666224000,31.257,8.22,7.694,8.746
1672963200,63.593,9.066,8.199,9.933
1661558400,39.715,8.516,7.728,9.304
1655510400,35.279,1.1235,0.985,1.262
1677456000,63.222,2.732,2.27,3.194
1659052800,36.782,4.484,3.848,5.12
1673827200,64.42,0.7625,0.55,0.975
1682035200,33.871,3.4345,3.029,3.84
1656201600,29.858,4.723,4.365,5.081
1662768000,35.232,12.1825,12.036,12.329
1676332800,37.512,1.563,1.49,1.636
1668384000,42.696,16.6785,15.467,17.89
1682467200,31.515,3.043,2.738,3.348
1663545600,58.541,4.62,3.99,5.25
1684195200,38.835,3.089,2.545,3.633
1668297600,40.488,2.903,2.401,3.405
1657411200,32.172,4.824,4.342,5.306
1681344000,28.814,0.8645,0.738,0.991
1670716800,58.704,0.543,0.456,0.63
1660435200,29.218,9.07,8.488,9.652
1678665600,57.809,2.858,2.464,3.252
1683849600,38.792,3.4815,2.918,4.045
1680652800,42.107,2.281,1.859,2.703
1676419200,33.18,0.5255,0.467,0.584
1662249600,25.589,4.158,3.905,4.411
1684540800,37.364,1.7915,1.444,2.139
1655251200,21.453,7.9605,7.627,8.294
1658102400,26.139,11.5625,11.302,11.823
1679097600,49.968,9.065,8.128,10.002
1667692800,44.997,3.4265,3.122,3.731
1673481600,62.499,2.793,2.325,3.261
1684454400,33.25,3.756,3.253,4.259
1662681600,21.383,12.261,11.566,12.956
1679961600,46.558,2.1585,1.749,2.568
1657584000,28.601,13.0775,11.544,14.611
1677542400,59.271,0.6145,0.412,0.817
1684627200,42.742,3.8995,3.221,4.578
1658793600,35.321,2.57,2.168,2.972
1656028800,24.197,3.7785,3.352,4.205
1662163200,21.263,14.073,13.787,14.359
1680307200,42.388,2.146,1.732,2.56
1659225600,42.019,3.4555,2.93,3.981
1682899200,48.737,1.7055,1.489,1.922
1673654400,68.862,2.553,2.217,2.889
1667260800,49.4,6.861,6.348,7.374
1664236800,35.359,8.0675,7.274,8.861
1659744000,40.54,1.8105,1.553,2.068
1676246400,42.619,12.439,10.891,13.987
1668729600,39.733,21.1795,20.288,22.071
1667865600,53.374,1.659,1.387,1.931
1674432000,35.564,0.1685,0.128,0.209
1669852800,51.808,3.937,3.375,4.499
1679875200,36.07,1.547,1.175,1.919
1668643200,42.578,21.9375,20.755,23.12
1661990400,29.86,10.4575,10.015,10.9
1676160000,43.905,4.957,4.297,5.617
1678233600,44.725,0.622,0.396,0.848
1678060800,49.861,1.9375,1.503,2.372
1673308800,64.563,5.8695,5.496,6.243
1673740800,64.737,2.3325,1.935,2.73
1685232000,41.089,5.972,5.243,6.701
1654128000,21.289,1.587,1.441,1.733
1676678400,34.442,15.469,13.951,16.987
1663891200,36.888,3.634,2.938,4.33
1682294400,37.078,2.5035,2.294,2.713
1677110400,45.992,0.5215,0.341,0.702
1669075200,39.255,18.121,16.941,19.301
1674864000,47.751,23.2355,21.508,24.963
1668124800,46.086,10.8445,9.787,11.902
1654041600,24.782,2.232,2.082,2.382
1668211200,47.264,12.957,11.944,13.97
1659571200,28.104,4.847,4.5,5.194
1681603200,40.725,2.1435,1.702,2.585
1673222400,69.544,2.7285,2.41,3.047
1670976000,55.04,13.4035,12.067,14.74
1667606400,48.411,11.4855,10.389,12.582
1679184000,55.486,5.5185,4.678,6.359
1684368000,37.521,5.2135,4.562,5.865
1680739200,42.071,3.727,3.16,4.294
1661126400,36.124,2.8435,2.58,3.107
1672531200,54.375,0.3535,0.217,0.49
1664409600,40.244,0.808,0.612,1.004
1671062400,53.508,23.117,21.033,25.201
1674604800,49.869,25.3255,23.258,27.393
1658361600,27.582,2.6195,2.294,2.945
1671235200,54.314,41.476,38.657,44.295
1676851200,43.392,17.634,16.033,19.235
1654300800,34.331,2.959,2.489,3.429
1672444800,72.313,0.955,0.709,1.201
1655683200,24.2,5.0835,4.725,5.442
1663286400,42.26,14.1685,13.472,14.865
1677196800,56.751,0.443,0.287,0.599
1662076800,26.49,7.3125,6.992,7.633
1681171200,47.035,0.357,0.272,0.442
1654819200,23.068,0.615,0.541,0.689
1660176000,33.792,2.2685,1.964,2.573
1658275200,30.743,5.0585,4.562,5.555
1670457600,58.789,16.1305,14.441,17.82
1668902400,41.179,26.4725,24.992,27.953
1674259200,50.518,6.2265,5.381,7.072
1672185600,61.197,5.8065,5.334,6.279
1670803200,58.711,0.453,0.261,0.645
1667174400,45.682,19.307,18.426,20.188
1682640000,31.917,4.5605,3.839,5.282
1672099200,69.849,16.913,15.709,18.117
1655856000,17.403,2.274,1.964,2.584
1656720000,35.025,2.2435,1.956,2.531
1679443200,61.281,0.5335,0.355,0.712
1660348800,29.358,3.4475,3.175,3.72
1655337600,19.68,2.579,2.464,2.694
1656547200,34.29,4.502,4.169,4.835
1665273600,39.133,6.7435,6.046,7.441
1654473600,41.456,1.416,1.175,1.657
1655942400,26.671,4.011,3.7,4.322
1672790400,66.871,22.1545,20.541,23.768
1675900800,50.261,20.888,18.7,23.076
1659657600,34.293,4.7925,4.581,5.004
1657497600,28.053,6.0375,5.427,6.648
1676592000,42.667,16.0725,14.67,17.475
1675382400,60.047,48.4735,46.26,50.687
1679356800,57.842,2.958,2.447,3.469
1673136000,62.207,1.8345,1.501,2.168
1654732800,29.056,1.403,1.232,1.574
1676073600,51.521,1.301,0.975,1.627
1660089600,37.143,2.7375,2.382,3.093
1654646400,25.333,0.7305,0.671,0.79
1663632000,55.199,4.571,3.897,5.245
1678752000,63.869,0.7565,0.591,0.922
1680566400,37.185,0.323,0.216,0.43
1668556800,30.039,3.755,3.19,4.32
1680134400,54.057,0.887,0.624,1.15
1657756800,38.048,13.371,12.192,14.55
1667520000,36.045,2.216,1.722,2.71
1683676800,43.166,1.3205,0.977,1.664
1659139200,42.656,3.5235,3.057,3.99
1673568000,59.517,4.9825,4.167,5.798
1681862400,36.916,2.21,1.828,2.592
1679529600,51.426,3.427,3.065,3.789
1685059200,42.817,3.19,2.596,3.784
1658880000,31.551,0.7915,0.598,0.985
1683590400,42.403,1.8145,1.466,2.163
1667779200,43.041,0.53,0.411,0.649
1665360000,41.639,8.2695,7.604,8.935
1667433600,46.797,0.7305,0.523,0.938
1677369600,62.311,10.462,9.295,11.629
1658016000,27.297,24.9765,23.649,26.304
1665878400,48.46,17.133,16.436,17.83
1662508800,22.851,7.1695,6.584,7.755
1662595200,20.651,9.239,8.672,9.806
1664755200,39.682,4.2145,3.7,4.729
1658620800,33.276,5.073,4.696,5.45
1671580800,60.746,42.077,39.359,44.795
1681257600,39.349,2.529,2.183,2.875
1657843200,30.762,6.2815,5.84,6.723
1683244800,48.389,2.2705,1.699,2.842
1685145600,43.046,2.3505,1.766,2.935
1678492800,60.365,5.004,4.321,5.687
1660608000,28.585,24.723,23.386,26.06
1660867200,29.996,11.0755,10.442,11.709
1664668800,44.674,5.3375,4.753,5.922
1683763200,42.122,2.327,1.826,2.828
1665100800,36.328,8.26,7.281,9.239
1663200000,42.013,16.148,15.5,16.796
1655596800,30.371,3.6195,3.419,3.82
1675209600,45.29,17.588,15.901,19.275
1681776000,40.126,2.099,1.751,2.447
1670630400,62.64,12.5505,11.595,13.506
1662940800,22.41,12.486,12.036,12.936
1669593600,42.962,7.741,7.034,8.448
1684281600,36.921,5.0635,4.422,5.705
1658188800,25.239,7.4015,6.919,7.884
1656374400,21.826,1.844,1.621,2.067
1667088000,37.278,21.761,20.847,22.675
1661644800,37.767,33.4725,32.229,34.716
1658534400,23.221,3.222,2.923,3.521
1664150400,37.187,8.3205,7.512,9.129
1671408000,63.782,43.8385,40.936,46.741
1680393600,47.081,1.461,1.153,1.769
1669334400,46.314,62.191,60.2,64.182
1658966400,32.428,1.474,1.151,1.797
1682380800,31.621,2.751,2.518,2.984
1684108800,44.09,4.005,3.322,4.688
1684022400,33.976,4.652,3.931,5.373
1665014400,38.102,7.92,7.014,8.826
1664323200,34.373,5.461,4.903,6.019
1660003200,34.16,1.802,1.477,2.127
1674518400,48.118,22.9555,20.727,25.184
1663372800,38.218,6.2645,5.993,6.536
1674950400,53.05,1.7485,1.413,2.084
1654387200,43.601,2.857,2.471,3.243
1682985600,53.132,0.319,0.206,0.432
1674172800,45.188,0.2505,0.129,0.372
1678579200,69.218,8.5205,7.607,9.434
1675296000,52.804,45.977,42.791,49.163
1654992000,37.403,0.192,0.136,0.248
1674345600,51.031,14.078,12.666,15.49
1671667200,63.337,52.066,49.445,54.687
1671753600,59.604,52.8225,50.698,54.947
1672876800,66.797,0.53,0.415,0.645
1656806400,44.888,14.535,13.484,15.586
1678320000,55.369,4.4165,3.795,5.038
1667952000,49.057,0.6185,0.416,0.821
1679788800,37.361,3.3615,2.969,3.754
1681689600,44.838,3.6985,3.197,4.2
1671840000,58.164,54.2225,51.618,56.827
1660953600,31.79,8.2575,7.983,8.532
1668470400,42.06,14.1765,13.193,15.16
1672704000,71.585,7.928,6.725,9.131
1677024000,37.642,0.242,0.184,0.3
1669766400,39.455,7.002,6.195,7.809
1656979200,42.147,4.428,3.807,5.049
1678924800,45.34,2.031,1.639,2.423
1671148800,55.724,31.9495,29.3,34.599
1669939200,56.158,3.703,3.099,4.307
1676764800,37.761,13.113,12.022,14.204
1682812800,34.41,1.4415,1.162,1.721
1670198400,52.591,2.1755,1.808,2.543
1655164800,21.779,5.9715,5.619,6.324
1680480000,38.951,0.185,0.12,0.25
1656115200,27.472,4.207,4.148,4.266
1684713600,39.356,5.5735,5.103,6.044
1679270400,54.397,0.998,0.822,1.174
1666742400,36.612,2.067,1.744,2.39
1665187200,35.726,9.293,8.338,10.248
1681084800,41.434,3.987,3.399,4.575
1683158400,49.928,0.8375,0.534,1.141
1655424000,34.218,2.688,2.587,2.789
1657324800,33.225,1.5135,1.287,1.74
1685318400,40.395,5.9645,5.207,6.722
1667347200,47.7,0.4245,0.29,0.559
1666483200,29.561,0.408,0.368,0.448
1682208000,37.91,1.3715,1.162,1.581
1671321600,60.771,50.7045,46.23,55.179
1673395200,70.025,2.509,2.04,2.978
1675641600,49.803,0.6965,0.509,0.884
1661731200,38.008,12.7595,12.179,13.34
1666137600,31.388,9.488,9.025,9.951
1659398400,29.553,6.9795,6.281,7.678
1656288000,34.651,5.0225,4.386,5.659
1675036800,39.335,1.525,1.271,1.779
1669680000,41.008,1.045,0.759,1.331
1679011200,46.636,5.1345,4.529,5.74
1654905600,22.59,0.4105,0.333,0.488
1660262400,30.408,2.8935,2.607,3.18
1668038400,47.824,6.701,5.807,7.595
1664841600,42.719,7.186,6.497,7.875
1668988800,38.771,16.8705,15.769,17.972
1664064000,30.986,6.748,5.912,7.584
1682726400,35.816,2.565,2.061,3.069
1685491200,39.369,2.109,1.724,2.494
